annee,boite,carrosserie,cote,energie,gouvernorat,image,kilometrage,lien,page,prix,puissance,titre,transmission,vendeur
2012,Automatique,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2024/10/107279_max.jpeg?t=1770989089,195000,https://www.automobile.tn/fr/occasion/porsche/cayenne/107279,1,106000,21 cv,Porsche Cayenne,Propulsion,
2010,Automatique,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/02/123223_max.jpeg?t=1770557178,78000,https://www.automobile.tn/fr/occasion/porsche/panamera/123223,1,129000,21 cv,Porsche Panamera,Traction,
2022,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/09/129912_max.jpeg?t=1788446144,50000,https://www.automobile.tn/fr/occasion/bmw/x2/129912,2,129000,8 cv,BMW X2,Intégrale,
2020,Automatique,,Bon prix,Diesel,Tunis,https://catalogue.automobile.tn/max/2024/11/107786_max.jpeg?t=1769447033,112000,https://www.automobile.tn/fr/occasion/bmw/x5/107786,2,250000,14 cv,BMW X5,Intégrale,
2022,Automatique,,Aucune évaluation,Diesel,Tunis,https://catalogue.automobile.tn/max/2026/08/129244_max.jpeg?t=1787776602,80000,https://www.automobile.tn/fr/occasion/mercedes-benz/gle/129244,3,255000,15 cv,Mercedes-Benz GLE,Intégrale,
2019,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/04/125676_max.jpeg?t=1786314835,43000,https://www.automobile.tn/fr/occasion/porsche/cayenne/125676,3,215000,21 cv,Porsche Cayenne,Intégrale,
2023,Manuelle,,Prix équitable,Diesel,Sousse,https://catalogue.automobile.tn/max/2026/09/129907_max.jpeg?t=1788440300,166700,https://www.automobile.tn/fr/occasion/citroen/berlingo-van/129907,4,48000,5 cv,Citroën Berlingo Van,Traction,
2020,Automatique,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2025/12/121708_max.jpeg?t=1788438298,147000,https://www.automobile.tn/fr/occasion/hyundai/tucson/121708,4,69900,8 cv,Hyundai Tucson,Traction,
2022,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/08/129760_max.jpeg?t=1788006335,98000,https://www.automobile.tn/fr/occasion/kia/sportage/129760,5,118000,8 cv,KIA Sportage,Intégrale,
2022,Manuelle,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/129757_max.jpeg?t=1788270267,98000,https://www.automobile.tn/fr/occasion/hyundai/grand-i10/129757,5,39500,5 cv,Hyundai Grand i10,Traction,
2021,Automatique,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/09/129900_max.jpeg?t=1788445569,93000,https://www.automobile.tn/fr/occasion/audi/a5-sportback/129900,6,128000,8 cv,Audi A5 Sportback,Traction,
2017,Automatique,,Très bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/06/127173_max.jpeg?t=1788432855,117000,https://www.automobile.tn/fr/occasion/peugeot/3008/127173,6,58000,9 cv,Peugeot 3008,Traction,
2020,Automatique,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/08/129603_max.jpeg?t=1787563535,220000,https://www.automobile.tn/fr/occasion/renault/megane/129603,7,45000,7 cv,Renault Megane,Traction,
2025,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/05/126228_max.jpeg?t=1788430236,18000,https://www.automobile.tn/fr/occasion/citroen/c4-x/126228,7,73000,7 cv,Citroën C4 X,Traction,
2021,Manuelle,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128149_max.jpeg?t=1783587042,130000,https://www.automobile.tn/fr/occasion/renault/clio/128149,8,39500,5 cv,Renault Clio,Traction,
